site,timeslice,temperature,proxy,lat,lon,mlat,mlon,plat,plon,5,50,95,sd,mean minus reported error,mean plus reported error,deepmip lower error,deepmip upper error,min,max,v1,v2,v3,v4,v5,v6
hampden beach,eeco,sst,mgca,-45.32,170.83,-57.05,-162.78,-48.22,-163.7,23.79,27.84,31.48,2.5,-999.9,-999.9,23.79,31.48,19.82,34.36,1,1,1,1,1,0
hampden beach,eeco,sst,tex86,-45.32,170.83,-57.05,-162.78,-48.22,-163.7,27.35,34.46,43.42,2.48,-999.9,-999.9,27.35,43.42,24.58,48.04,1,1,0,1,1,0
harrell,lp,lat,mbtcbt,32.3,-88.7,35.76,-73.14,30.94,-61.35,20.75,21.36,22.08,0.51,20.87,21.85,20.87,21.85,20.57,22.29,1,1,1,0,1,1
harrell,petm,lat,mbtcbt,32.3,-88.7,35.76,-73.14,30.94,-61.35,25.31,26.61,27.69,0.86,25.78,27.43,25.78,27.43,25.26,27.89,1,1,1,0,1,1
harrell,petm,sst,tex86,32.25,-88.72,36.41,-73.7,31.67,-61.72,30.44,38.09,45.84,1.08,-999.9,-999.9,30.44,45.84,28.04,47.69,1,1,0,1,1,1
hatchetigbee,eeco,sst,del47,31.5,-92.1,34.86,-74.27,29.54,-63.73,26.38,27.1,27.73,1.06,24.8,29.5,24.8,29.5,27.8,26.3,1,1,1,1,1,1
hatchetigbee,eeco,sst,tex86,31.45,-88.05,34.86,-74.27,29.54,-63.73,23.74,30.57,38.35,1.66,-999.9,-999.9,23.74,38.35,20.97,40.61,1,1,0,1,1,1
Hidden Gold Camp,eeco,lat,mbtcbt,39.16,-120.86,44.94,-108.23,44.86,-93.06,-999.9,11.1,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
ib10a,lp,sst,tex86,6.8,3.63,2.99,-2.16,-7.33,3.59,28.34,35.45,42.94,1.48,-999.9,-999.9,28.34,42.94,25.43,45.04,1,1,0,1,1,1
ib10A,petm,sst,tex86,6.8,3.63,2.99,-2.16,-7.33,3.59,33.72,41.96,50.97,1.25,-999.9,-999.9,33.72,50.97,32.98,52.04,1,1,0,1,1,1
ib10b,lp,sst,tex86,6.8,3.63,2.99,-2.16,-7.33,3.59,28.18,35.47,42.5,1.44,-999.9,-999.9,28.18,42.5,24.51,44.77,1,1,0,1,1,1
ib10B,petm,sst,tex86,6.8,3.63,2.99,-2.16,-7.33,3.59,31.08,38.8,46.61,2.1,-999.9,-999.9,31.08,46.61,27.5,50.22,1,1,0,1,1,1
iodp 1356,eeco,lat,ba,-63.18,135.59,-66.35,129.16,-57.87,144.42,12.28,15.81,18.83,2.3,13.52,18.09,13.52,18.09,10.28,21.57,1,1,1,1,1,0
iodp 1356,eeco,lat,ca,-63.18,135.59,-66.35,129.16,-57.87,144.42,17.45,18.41,20.9,0.99,17.42,19.39,17.42,19.39,17.2,21.95,1,1,1,1,1,0
iodp 1356,eeco,lat,mbtcbt,-63.18,135.59,-66.35,129.16,-57.87,144.42,16.73,20.11,21.25,1.47,18.65,21.58,18.65,21.58,16.03,21.48,1,1,1,0,1,0
